_,Ward,Name,Address,Zip,lat,lon
0,1,Presbyterian Church of the Way,3382 Lexington Ave N,55126,45.04393785714286,-93.14690214285714
1,2,Bethel University- Anderson Center,2 Pine Tree Dr. Arden Hills,55112,45.04624545,-93.15491097836208
2,3,North Heights Lutheran Church,1700 Highway 96 W,55112,45.077706,-93.171888
3,1-10,Blaine City Hall,10801 Town Square Dr NE,55449,45.166187,-93.20833
4,1,Falcon Heights City Hall,2077 Larpenteur Ave W,55113,44.9927692,-93.1837756
5,2,Falcon Heights United Church of Christ,1795 Holton St,55113,44.9952378989899,-93.16052997979797
6,1,Heritage Hall,4200 Otter Lake Rd,55110,45.068011,-93.030537
7,1,Lauderdale City Hall,1891 Walnut St,55113,44.998015,-93.205162
8,1,Roseville Area Middle School,15 County Rd B2 East,55117,45.014088,-93.099882
9,2,Little Canada Elementary,400 Eli Rd,55117,45.02522399590772,-93.08472421410198
10,3,Little Canada City Center,515 Little Canada Rd E,55117,45.020869712529304,-93.07680285545729
11,1,Edgerton Elementary School,1929 Edgerton St,55117,44.9999028,-93.07686909886793
12,2,Edgerton Elementary School,1929 Edgerton St,55117,44.9999028,-93.07686909886793
13,3,Gladstone Community Center,1945 Manton St.,55109,44.9999517,-93.04023336433079
14,4,Wakefield Park Com. Building,1860 Hazelwood St,55109,44.99837920408164,-93.0353482244898
15,5,Maplewood Community Center/YMCA,2100 White Bear Ave N,55109,45.00421,-93.025063
16,6,Redeeming Love Church,2425 White Bear Ave N,55109,45.014562,-93.021463
17,7,First Evangelical Free Church,2696 Hazelwood St,55109,45.02286347361872,-93.03538161289131
18,8,Ramsey County Library – Maplewood,3025 Southlawn Dr,55109,45.03108798305541,-93.02570548897476
19,9,Justice Alan Page Elementary School,2410 Holloway Ave E,55109,44.997505,-92.999221
20,10,Justice Alan Page Elementary School,2410 Holloway Ave E,55109,44.997505,-92.999221
21,11,Beaver Lake Education Center,1060 Sterling St. N,55119,44.97320175,-92.99438712202132
22,12,Carver Elementary School,2680 Upper Afton Rd,55119,44.94046285,-92.98712005500845
23,13,Lutheran Church of Peace,47 Century Ave S,55119,44.940006249999996,-92.9851650183881
24,1,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
25,2,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
26,3,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
27,4,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
28,1,St. John the Baptist Catholic Church,835 2nd Ave NW,55112,45.06395313131313,-93.18925077777777
29,2,Church of Jesus Christ of Latter Day Saints,100 Silver Lake Rd NW,55112,45.050169,-93.218453
30,3,Salem Covenant Church,2655 5th St. NW,55112,45.05711444897959,-93.22034165306123
31,4,Christ the King,1900 7th St. NW,55112,45.0611013,-93.2109225
32,5,Faith Church,1600 Silver Lake Rd,55112,45.075761,-93.219418
33,6,New Brighton Community Center,400 10th St NW,55112,45.066088,-93.1907404
34,7,United Church of Christ,1000 Long Lake Rd,55112,45.066048,-93.202974
35,8,Gracepoint Church,2351 Rice Creek Rd,55112,45.08244444642857,-93.217415875
36,1,North Oaks City Hall (Council Chambers),100 Village Center Dr,55127,45.079738,-93.114251
37,2,North Oaks Golf Club,54 E. Oaks Rd.,55127,45.084789,-93.086642
38,1,River of God Church,2490 7th Ave E,55109,45.010337,-92.995462
39,2,North Presbyterian Church,2675 Highway 36 E 2131,55109,45.012326,-93.014087
40,3,Cowern Elementary School,Margaret St N 2400 17th,55109,45.014551,-93.025535
41,4,"Richardson School, Gym",Ave E,55109,44.9516287,-92.9926153
42,1,Centennial United Methodist Church,1524 County Road C2,55113,45.027419,-93.165221
43,2,Roseville Covenant Church,W 2865 Hamline Ave N,55113,45.012196,-93.151186
44,3,Roseville City Hall,2660 Civic Center Dr,55113,45.02185856555094,-93.14938271177772
45,4,North Heights Lutheran Church,2701 Rice St N,55113,45.022858,-93.107051
46,5,St. Christopher Episcopal Church,2300 Hamline Ave N,55113,45.010965549999995,-93.15536095313647
47,6,Prince of Peace Lutheran Church,2561 Victoria St N,55113,45.019592179773475,-93.1377513252074
48,7,Central Park Elementary,535 Cty Rd B2 W,55113,45.012196,-93.151186
49,8,Anpetu Teca Education Center,1910 County B Rd W,55113,45.005458,-93.18078
50,9,Ramsey County Library,2180 Hamline Ave N,55113,45.0074926,-93.15579373685387
51,10,Roseville Lutheran Church,1215 Roselawn Ave W,55113,44.999228153846154,-93.15199546153846
52,11,Galilee Evangelical Lutheran Church,145 McCarrons Blvd N,55113,45.00207779910714,-93.11467367410714
53,1R,Silverwood Park Event Center,2500 Cty Road E,55421,45.0620181,-93.2216505
54,1H,Autumn Woods,2600 Kenzie Ter,55418,45.01446520184122,-93.22327202336254
55,2H,St. Anthony Community Center,3301 Silver Lake Rd,55418,45.02965705,-93.21733871896001
56,1,Lutheran Church of Resurrection,3115 Victoria St N (Roseville),55113,45.03549475,-93.136883
57,2,Shepherd of the Hills Lutheran Church,3920  Victoria St N,55126,45.060309,-93.130475
58,3,Shoreview City Hall,4600 Victoria St N,55126,45.08119755312423,-93.13491494884335
59,4,Shoreview Community Center,4580 Victoria St N,55126,45.0804682,-93.13168573583312
60,5,Shoreview Community Center,4580 Victoria St N,55126,45.0804682,-93.13168573583312
61,6,Incarnation Lutheran Church,4880 Hodgson Rd(North Oaks),55126,45.089025,-93.121773
62,7,Lake Johanna Fire Department Station,5545 Lexington Ave N,55126,45.108549,-93.147813
63,1R,Emmanuel Christian Center,777 University Ave NE,55432,45.097202,-93.2634353
64,1,Vadnais Heights Commons,655 County Road F E,55127,45.064762971567035,-93.07470633539302
65,2,Vadnais Heights Commons,655 County Road F E,55127,45.064762971567035,-93.07470633539302
66,3,Vadnais Heights Commons,655 County Road F E,55127,45.064762971567035,-93.07470633539302
67,4,Vadnais Heights South Fire Station,3595 Arcade St N,55127,45.053144,-93.063953
68,1,Otter Lake Elementary School,1401 County Road H2 E,55110,45.106432,-93.038988
69,2,Lakeshore Players Theatre,4941 Long Ave,55110,45.09363282098404,-93.00695328160171
70,3,South Shore Trinity Lutheran Church,2480 South Shore Blvd,55110,45.069441000000005,-92.99565525
71,4,Heritage Hall,4200 Otter Lake Rd,55110,45.068011,-93.030537
72,5,Otter Lake Elementary School,1401 County Road H2 E,55110,45.106432,-93.038988
73,1-1,White Bear Lake City Hall-Council Chambers,4701 Highway 61,55110,45.083829,-93.011939
74,2-1,White Bear Lake Library,2150 2nd St,55110,45.08323069230769,-93.00796576923078
75,3-1,Sunrise Park Middle School Gym,2399 Cedar Ave,55110,45.0581504,-92.99927970086233
76,4-1,WBL Area Learning Center,2449 Orchard Ln,55110,45.043503403358265,-92.99717438790331
77,4-2,WBL Area Learning Center,2449 Orchard Ln,55110,45.043503403358265,-92.99717438790331
78,5-1,St. Stephen Lutheran Church,1965 County Road E E,55110,45.050338,-93.0176963
79,1-1,Galtier School,1317 Charles Ave,55104,44.9580575,-93.1560170697905
80,1-2,Martin Luther King Recreation Center,271 Mackubin St,55102,44.949562,-93.12134
81,1-3,St. Stephanus Lutheran Church,739 Lafond Ave,55104,44.960362,-93.131284
82,1-4,St. Stephanus Lutheran Church,739 Lafond Ave,55104,44.960362,-93.131284
83,1-5,Maxfield School,380 Victoria St N,55104,44.92979412244898,-93.1365196122449
84,1-6,Jimmy Lee Recreation Center,270 Lexington Pkwy N,55104,44.949463,-93.146152
85,1-7,Unity Unitarian Church,733 Portland Ave,55104,44.942353322033895,-93.12991925423728
86,1-8,Martin Luther King Recreation Center,271 Mackubin St,55102,44.949562,-93.12134
87,1-9,Jackson School,437 Edmund Ave,55103,44.95892485,-93.11826647086033
88,1-10,Mt. Zion Temple,1300 Summit Ave,55105,44.9408885,-93.1559543301226
89,1-11,Ravoux High Rise,280 Ravoux St,55103,44.95210053061224,-93.1118145510204
90,1-12,Rice Street Library,1011 Rice St,55117,44.97178781818182,-93.10607272727273
91,1-13,Mount Airy High Rise,200 Arch St E,55130,44.960425,-93.092676
92,2-1,Central Presbyterian Church,500 Cedar St,55101,44.949788,-93.0965
93,2-2,Awaken Community Church,506 View St,55102,44.92608469230769,-93.13297107692307
94,2-3,West 7th Community Center,265 Oneida St,55102,44.933081,-93.12368
95,2-4,Palace Community Center,781 Palace Ave,55102,44.929292,-93.132792
96,2-5,Linwood Recreation Center,860 St Clair Ave,55105,44.93404161904762,-93.13350358730158
97,2-6,Summit Church,845 Summit Ave,55105,44.941462882352944,-93.13547894117646
98,2-7,Landmark Center,75 5th St W,55102,44.945626,-93.097131
99,2-8,Salvation Army,401 7th St W,55102,44.93970655,-93.11006534547029
100,2-9,St. Matthews Parish Center,490 Hall Ave,55107,44.931224,-93.0864
101,2-10,El Rio Vista Recreation Center,179 Robie St E,55107,44.930724,-93.076935
102,2-11,Humboldt High School,640 Humboldt Ave,55107,44.9252191,-93.08499465
103,2-12,Humboldt High School,640 Humboldt Ave,55107,44.9252191,-93.08499465
104,2-13,Hope Community Academy,720 Payne Ave,55130,44.9627675,-93.0734389
105,3-1,Temple of Aaron,616 Mississippi River Blvd,55116,44.922484,-93.196361
106,3-2,Nativity Church-Steiner Hall,1938 Stanford Ave,55105,44.932352,-93.181892
107,3-3,Lumen Christi Catholic Community,2055 Bohland Ave,55116,44.91624756410256,-93.18660223076922
108,3-4,Highland Park Community Center (Hillcrest Rec),1978 Ford Pkwy,55116,44.9178428396795,-93.18388820579528
109,3-5,Montreal High Rise,1085 Montreal Ave,55116,44.912519,-93.14593137019035
