,Name,Address,Zip,lat,lon
0,Presbyterian Church of the Way,3382 Lexington Ave N,55126,45.04393785714286,-93.14690214285714
1,Bethel University- Anderson Center,2 Pine Tree Dr. Arden Hills,55112,45.04624545,-93.15491097836208
2,North Heights Lutheran Church,1700 Highway 96 W,55112,45.077706,-93.171888
3,Blaine City Hall,10801 Town Square Dr NE,55449,45.166187,-93.20833
4,Falcon Heights City Hall,2077 Larpenteur Ave W,55113,44.9927692,-93.1837756
5,Falcon Heights United Church of Christ,1795 Holton St,55113,44.9952378989899,-93.16052997979796
6,Heritage Hall,4200 Otter Lake Rd,55110,45.068011,-93.030537
7,Lauderdale City Hall,1891 Walnut St,55113,44.998015,-93.205162
8,Roseville Area Middle School,15 County Rd B2 East,55117,45.014088,-93.099882
9,Little Canada Elementary,400 Eli Rd,55117,45.02522399590772,-93.08472421410198
10,Little Canada City Center,515 Little Canada Rd E,55117,45.0208697125293,-93.07680285545727
11,Edgerton Elementary School,1929 Edgerton St,55117,44.9999028,-93.07686909886792
12,Edgerton Elementary School,1929 Edgerton St,55117,44.9999028,-93.07686909886792
13,Gladstone Community Center,1945 Manton St.,55109,44.9999517,-93.0402333643308
14,Wakefield Park Com. Building,1860 Hazelwood St,55109,44.99837920408164,-93.0353482244898
15,Maplewood Community Center/YMCA,2100 White Bear Ave N,55109,45.00421,-93.025063
16,Redeeming Love Church,2425 White Bear Ave N,55109,45.014562,-93.021463
17,First Evangelical Free Church,2696 Hazelwood St,55109,45.02286347361872,-93.03538161289131
18,Ramsey County Library – Maplewood,3025 Southlawn Dr,55109,45.03108798305541,-93.02570548897476
19,Justice Alan Page Elementary School,2410 Holloway Ave E,55109,44.997505,-92.999221
20,Justice Alan Page Elementary School,2410 Holloway Ave E,55109,44.997505,-92.999221
21,Beaver Lake Education Center,1060 Sterling St. N,55119,44.97320175,-92.99438712202132
22,Carver Elementary School,2680 Upper Afton Rd,55119,44.94046285,-92.98712005500845
23,Lutheran Church of Peace,47 Century Ave S,55119,44.94000625,-92.9851650183881
24,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
25,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
26,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
27,Mounds View Community Center,5394 Edgewood Dr,55112,45.10392,-93.202376
28,St. John the Baptist Catholic Church,835 2nd Ave NW,55112,45.06395313131313,-93.18925077777776
29,Church of Jesus Christ of Latter Day Saints,100 Silver Lake Rd NW,55112,45.050169,-93.218453
30,Salem Covenant Church,2655 5th St. NW,55112,45.05711444897959,-93.22034165306124
31,Christ the King,1900 7th St. NW,55112,45.0611013,-93.2109225
32,Faith Church,1600 Silver Lake Rd,55112,45.075761,-93.219418
33,New Brighton Community Center,400 10th St NW,55112,45.066088,-93.1907404
34,United Church of Christ,1000 Long Lake Rd,55112,45.066048,-93.202974
35,Gracepoint Church,2351 Rice Creek Rd,55112,45.08244444642857,-93.217415875
36,North Oaks City Hall (Council Chambers),100 Village Center Dr,55127,45.079738,-93.114251
37,North Oaks Golf Club,54 E. Oaks Rd.,55127,45.084789,-93.086642
38,River of God Church,2490 7th Ave E,55109,45.010337,-92.995462
39,North Presbyterian Church,2675 Highway 36 E 2131,55109,45.012326,-93.014087
40,Cowern Elementary School,Margaret St N 2400 17th,55109,45.014551,-93.025535
41,"Richardson School, Gym",Ave E,55109,44.9516287,-92.9926153
42,Centennial United Methodist Church,1524 County Road C2,55113,45.027419,-93.165221
43,Roseville Covenant Church,W 2865 Hamline Ave N,55113,45.012196,-93.151186
44,Roseville City Hall,2660 Civic Center Dr,55113,45.02185856555094,-93.14938271177772
45,North Heights Lutheran Church,2701 Rice St N,55113,45.022858,-93.107051
46,St. Christopher Episcopal Church,2300 Hamline Ave N,55113,45.01096555,-93.15536095313648
47,Prince of Peace Lutheran Church,2561 Victoria St N,55113,45.01959217977348,-93.1377513252074
48,Central Park Elementary,535 Cty Rd B2 W,55113,45.012196,-93.151186
49,Anpetu Teca Education Center,1910 County B Rd W,55113,45.005458,-93.18078
50,Ramsey County Library,2180 Hamline Ave N,55113,45.0074926,-93.15579373685388
51,Roseville Lutheran Church,1215 Roselawn Ave W,55113,44.99922815384616,-93.15199546153846
52,Galilee Evangelical Lutheran Church,145 McCarrons Blvd N,55113,45.00207779910714,-93.11467367410714
53,Silverwood Park Event Center,2500 Cty Road E,55421,45.0620181,-93.2216505
54,Autumn Woods,2600 Kenzie Ter,55418,45.01446520184122,-93.22327202336254
55,St. Anthony Community Center,3301 Silver Lake Rd,55418,45.02965705,-93.21733871896
56,Lutheran Church of Resurrection,3115 Victoria St N (Roseville),55113,45.03549475,-93.136883
57,Shepherd of the Hills Lutheran Church,3920  Victoria St N,55126,45.060309,-93.130475
58,Shoreview City Hall,4600 Victoria St N,55126,45.08119755312423,-93.13491494884336
59,Shoreview Community Center,4580 Victoria St N,55126,45.0804682,-93.13168573583312
60,Shoreview Community Center,4580 Victoria St N,55126,45.0804682,-93.13168573583312
61,Incarnation Lutheran Church,4880 Hodgson Rd(North Oaks),55126,45.089025,-93.121773
62,Lake Johanna Fire Department Station,5545 Lexington Ave N,55126,45.108549,-93.147813
63,Emmanuel Christian Center,777 University Ave NE,55432,45.097202,-93.2634353
64,Vadnais Heights Commons,655 County Road F E,55127,45.06476297156704,-93.07470633539302
65,Vadnais Heights Commons,655 County Road F E,55127,45.06476297156704,-93.07470633539302
66,Vadnais Heights Commons,655 County Road F E,55127,45.06476297156704,-93.07470633539302
67,Vadnais Heights South Fire Station,3595 Arcade St N,55127,45.053144,-93.063953
68,Otter Lake Elementary School,1401 County Road H2 E,55110,45.106432,-93.038988
69,Lakeshore Players Theatre,4941 Long Ave,55110,45.09363282098404,-93.00695328160172
70,South Shore Trinity Lutheran Church,2480 South Shore Blvd,55110,45.069441000000005,-92.99565525
71,Heritage Hall,4200 Otter Lake Rd,55110,45.068011,-93.030537
72,Otter Lake Elementary School,1401 County Road H2 E,55110,45.106432,-93.038988
73,White Bear Lake City Hall-Council Chambers,4701 Highway 61,55110,45.083829,-93.011939
74,White Bear Lake Library,2150 2nd St,55110,45.08323069230769,-93.00796576923078
75,Sunrise Park Middle School Gym,2399 Cedar Ave,55110,45.0581504,-92.99927970086232
76,WBL Area Learning Center,2449 Orchard Ln,55110,45.043503403358265,-92.99717438790331
77,WBL Area Learning Center,2449 Orchard Ln,55110,45.043503403358265,-92.99717438790331
78,St. Stephen Lutheran Church,1965 County Road E E,55110,45.050338,-93.0176963
79,Galtier School,1317 Charles Ave,55104,44.9580575,-93.1560170697905
80,Martin Luther King Recreation Center,271 Mackubin St,55102,44.949562,-93.12134
81,St. Stephanus Lutheran Church,739 Lafond Ave,55104,44.960362,-93.131284
82,St. Stephanus Lutheran Church,739 Lafond Ave,55104,44.960362,-93.131284
83,Maxfield School,380 Victoria St N,55104,44.92979412244898,-93.1365196122449
84,Jimmy Lee Recreation Center,270 Lexington Pkwy N,55104,44.949463,-93.146152
85,Unity Unitarian Church,733 Portland Ave,55104,44.942353322033895,-93.12991925423728
86,Martin Luther King Recreation Center,271 Mackubin St,55102,44.949562,-93.12134
87,Jackson School,437 Edmund Ave,55103,44.95892485,-93.11826647086032
88,Mt. Zion Temple,1300 Summit Ave,55105,44.9408885,-93.1559543301226
89,Ravoux High Rise,280 Ravoux St,55103,44.95210053061224,-93.1118145510204
90,Rice Street Library,1011 Rice St,55117,44.97178781818182,-93.10607272727272
91,Mount Airy High Rise,200 Arch St E,55130,44.960425,-93.092676
92,Central Presbyterian Church,500 Cedar St,55101,44.949788,-93.0965
93,Awaken Community Church,506 View St,55102,44.92608469230769,-93.13297107692308
94,West 7th Community Center,265 Oneida St,55102,44.933081,-93.12368
95,Palace Community Center,781 Palace Ave,55102,44.929292,-93.132792
96,Linwood Recreation Center,860 St Clair Ave,55105,44.93404161904762,-93.13350358730158
97,Summit Church,845 Summit Ave,55105,44.941462882352944,-93.13547894117646
98,Landmark Center,75 5th St W,55102,44.945626,-93.097131
99,Salvation Army,401 7th St W,55102,44.93970655,-93.11006534547028
100,St. Matthews Parish Center,490 Hall Ave,55107,44.931224,-93.0864
101,El Rio Vista Recreation Center,179 Robie St E,55107,44.930724,-93.076935
102,Humboldt High School,640 Humboldt Ave,55107,44.9252191,-93.08499465
103,Humboldt High School,640 Humboldt Ave,55107,44.9252191,-93.08499465
104,Hope Community Academy,720 Payne Ave,55130,44.9627675,-93.0734389
105,Temple of Aaron,616 Mississippi River Blvd,55116,44.922484,-93.196361
106,Nativity Church-Steiner Hall,1938 Stanford Ave,55105,44.932352,-93.181892
